"","YEAR","PROP_INDPREF","ALL_MAT","IND_PREF","COHORT_ABUND","LG_ABUND_lag1","LG_ABUND_avg2","ICE_avg2","ICE","TOCC_lag1","TOCC_avg2lag1","DF_BIOMASS","EXP_RATE","EXP_RATE_avg2","EXP_RATE_avg2lag2","EXP_RATE_lag2"
"21",2009,0.203220120875531,431.576287292636,87.7049852706223,875.713248920583,241.840045943731,265.912309235461,0.417174249765824,0.407735421316964,-0.459408506130492,-0.435025830017504,26.06,0.241892910825853,0.30394405250823,0.262779278470705,0.322175274936283
"22",2010,0.203266938077885,723.066505964446,146.975514694068,3573.34349244055,289.984572527192,289.764329096524,0.414357209497568,0.420978997678173,-0.419171073816762,-0.439289789973627,29.08,0.254793283562056,0.248343097193955,0.344085234563445,0.365995194190607
"23",2011,0.119663609055913,990.448112017358,118.520595666612,1904.44922013147,289.544085665857,294.698475877295,0.337459791533801,0.253940585389429,-0.00529625558547765,-0.21223366470112,44.02,0.361022527779492,0.307907905670774,0.30394405250823,0.241892910825853
"24",2012,NA,0,0,1058.43495928433,299.852866088733,239.674171759037,0.395129089355468,0.536317593321508,0.996703957284951,0.495703850849737,35.58,0.497016737392496,0.429019632585994,0.248343097193955,0.254793283562056
"25",2013,0.141254461269906,495.104749069918,69.9357546020433,942.047118386737,179.495477429341,189.271492255984,0.467382862324617,0.398448131327726,-0.302397266301968,0.347153345491491,35.1,0.575280407432258,0.536148572412377,0.307907905670774,0.361022527779492
"26",2014,NA,0,0,1426.01116197597,199.047507082627,279.715903069017,0.267990510901626,0.137532890475526,-0.104862560292677,-0.203629913297322,42.44,0.369195658001708,0.472238032716983,0.429019632585994,0.497016737392496
"27",2015,0.140142527473895,330.637009856123,46.3363062376482,1257.91033427684,360.384299055407,252.736524619928,0.1395377147441,0.141542539012675,1.80930211080937,0.852219775258347,29.32,0.615533600773705,0.492364629387707,0.536148572412377,0.575280407432258
"28",2016,NA,0,0,2805.91027182053,145.088750184449,125.183761874095,0.110733181700414,0.0799238243881537,0.153916955066183,0.981609532937777,14.29,0.460353210081068,0.537943405427387,0.472238032716983,0.369195658001708
"29",2017,0.0444270406296469,881.783129030859,39.1750148999911,5359.79186788929,105.278773563741,105.810212105577,0.125770590645926,0.171617356903699,0.671305660130721,0.412611307598452,14.48,0.477236213580424,0.468794711830746,0.492364629387707,0.615533600773705
"30",2018,0.0203280392178557,3139.30900023606,63.8159964737661,7882.589261621,106.341650647413,149.449281349739,0.0919800489775989,0.0123427410514987,-0.0391258500292395,0.316089905050741,21.14,0.48806780912914,0.482652011354782,0.537943405427387,0.460353210081068
"31",2019,0.0560041358896276,1421.41388267911,79.6050562409639,870.480666204972,192.556912052066,215.22049566476,0.0147931780133928,0.017243614975287,3.25905014686083,1.6099621484158,31.04,0.667862870634782,0.577965339881961,0.468794711830746,0.477236213580424
"32",2020,NA,NA,NA,NA,237.884079277454,NA,NA,NA,2.51573300460704,2.88739157573394,NA,NA,NA,0.482652011354782,0.48806780912914
"33",2021,0.149605736577757,204.665016195083,30.6190604995638,19.4110291021238,NA,NA,NA,0.104082815987723,NA,NA,4.2,0.203558228573657,NA,0.577965339881961,0.667862870634782
"34",2022,0.17267875907333,137.442280952189,23.733362519032,749.413414500997,108.249094590327,91.8966982212749,0.192172820422114,0.280262824856505,2.35234869163681,NA,0,0,0.101779114286828,NA,NA
"35",2023,0.126803614634182,157.12349192903,19.9238267205458,723.378902514666,75.5443018522231,65.2458283578075,0.22467509367028,0.169087362484056,-0.585294120697494,0.883527285469658,0,0,0,NA,0.203558228573657
"36",2024,0.0349131068817774,646.516613147577,22.5719036156661,2938.0888805873,54.9473548633919,68.0900948393743,0.173654707305286,0.178222052126515,-0.287326538361402,-0.436310329529448,2.81,0.115198995725201,0.0575994978626007,0.101779114286828,0
"37",2025,0.0256858687446178,1387.01956453351,35.6268024808248,2903.07552617497,81.2328348153566,102.740184075031,0.139791966652384,0.101361881178253,0.442163666922968,0.077418564280783,NA,NA,NA,NA,NA
