"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"14",2002,0.89699279683975,14773.6416652099,1696.54819279099,16470.1898580009,57.6438830994333,164.214897377712,1172.04318180949,100.221175124939,0.303781676000478,1.99614450302354
"15",2003,0.864685971367113,22704.5574776063,3553.01837008465,26257.575847691,56.3313908434586,160.516439049855,1586.78334949603,486.601206597788,0.141843940579161,2.36582291831947
"16",2004,0.952186094906993,25024.4468764629,1256.59945503937,26281.0463315023,48.6308585293391,134.045258056204,2219.6252368907,2893.95892113658,0.200521078304369,1.5871271330562
"17",2005,0.719581582628571,33830.4739623106,13183.616974718,47014.0909370287,55.5387656369423,152.352782438734,2597.74558445756,1353.68479873911,0.13163123305963,1.74003889449517
"18",2006,0.741659676196866,42358.5881581357,14754.6532888646,57113.2414470003,55.6832419380094,113.018264429181,1740.32065691481,932.274639917009,0.289358352349729,-0.366636445443749
"19",2007,0.697398795398003,29915.8709420812,12980.4907085126,42896.3616505938,56.6586957314334,276.266532885037,1974.83066325242,230.018557976883,0.287150797941247,-0.229695013788332
"20",2008,0.883993056572182,29680.2450341719,3894.95650560214,33575.201539774,51.4315850167628,240.856400939371,1763.30529314598,164.098054584603,0.426613078214684,0.162075419541142
"21",2009,0.903707788327516,31008.2663353102,3304.00444050876,34312.2707758189,54.4791308518558,287.472800508468,1751.77576356661,1108.68938556275,0.407735421316964,-0.510318784328787
"22",2010,0.873551859110408,45870.3502732061,6639.81245476141,52510.1627279675,51.4837453185359,290.756514347338,4214.58956183889,4667.48764852579,0.420978997678173,-0.198729663025485
"23",2011,0.801147636918134,72836.2403182301,18078.6384903969,90914.8788086271,46.8279954442453,302.379803835229,7351.45854136603,1345.59494786344,0.253940585389429,1.26232275961381
"24",2012,0.738787145656394,58852.3134767812,20808.4031759055,79660.7166526867,47.9864223686094,179.673775669248,6248.55967810316,1633.44084310308,0.536317593321508,0.0834291099352609
"25",2013,0.7726884350354,51106.006700211,15034.5026991171,66140.5093993281,51.4297083028511,197.642062742253,5244.50842086485,1151.58371749568,0.398448131327726,0.503569336699473
"26",2014,0.703711392424062,47487.1862046089,19993.8674145895,67481.0536191984,62.9725923259923,359.151148159361,4287.19498241438,1189.95146440476,0.137532890475526,2.05121482512907
"27",2015,0.906133825188841,39567.5552314505,4098.79308437857,43666.3483158291,53.8278125619511,144.160670307508,2916.52421784926,2367.39628672475,0.141542539012675,0.542153746041209
"28",2016,0.876970861978676,23186.2941389564,3252.77601058318,26439.0701495396,53.2847180703858,104.172530946994,1929.72334297222,3136.61568172459,0.0799238243881537,0.651741992037596
"29",2017,0.922605070165031,38402.8534409093,3221.515081193,41624.3685221023,46.1190781294387,105.356143005562,4993.30046513896,4806.99912859606,0.171617356903699,0.114924966989247
"30",2018,0.906127444848439,49481.6774527976,5126.17901829074,54607.8564710883,46.7394397805316,187.853576027895,7766.31324359419,3726.15607334464,0.0123427410514987,3.31077779955022
"31",2019,0.964829672598318,39569.4465988032,1442.40007486033,41011.8466736635,37.3589793414896,230.805461554359,4785.51825653353,180.551380100746,0.017243614975287,2.42153656174378
"32",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2021,0.993785962972377,11196.3686615407,70.0096922577086,11266.3783537984,50.4592725744515,105.00970366096,1432.70147503287,7.64553461523819,0.104082815987723,2.37961060856859
"34",2022,0.889601189755393,10006.1874013063,1241.76001213817,11247.9474134444,52.5577898074012,74.3805918623521,961.362757201685,853.914631400184,0.280262824856505,-0.340085929582942
"35",2023,0.660731067934805,4514.70509357301,2318.18851877712,6832.89361235013,53.5837005842601,54.7251603468838,679.430368026683,917.721604562492,0.169087362484056,-0.129832918110505
"36",2024,0.234383084240383,14391.5146864949,47010.1633959342,61401.6780824291,62.8742267051246,80.886526257035,1817.44169217894,3845.11791055841,0.178222052126515,0.486104713048591
"37",2025,0.581774098718227,55710.0575895568,40048.8593376456,95758.9169272024,57.7317335476807,122.340167686531,5013.08856180038,1478.31615045063,0.101361881178253,0.901092833161405
