"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"27",2015,0.905577832693387,17001.98729,1772.75153,18774.73882,53.8278125619511,82.4973044390698,1238.59148614564,849.026706026532,0.141542539012675,0.695219916454385
"28",2016,0.876260536040792,9972.21236,1408.20699,11380.41935,53.2847180703858,57.7800482950003,818.373906680514,1131.99810848,0.0799238243881537,0.827686949425836
"29",2017,0.922347846262669,16558.16559,1394.02637,17952.19196,46.1190781294387,57.9553319146839,2086.90303307711,1795.78850091907,0.171617356903699,0.20621449572461
"30",2018,0.90574981938117,21328.44776,2219.38775,23547.83551,46.7394397805316,98.8136513331375,3281.9831847009,1421.17697922525,0.0123427410514987,3.30522437325343
"31",2019,0.964664276727758,17063.30487,625.03011,17688.33498,37.3589793414896,119.656802970978,2040.90069164431,69.5162241502262,0.017243614975287,2.4168712455769
"32",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2021,0.993824921163746,4828.23757,30,4858.23757,50.4592725744515,54.1366100467348,609.776921185667,2.70444606587344,0.104082815987723,2.38179888126486
"34",2022,0.889260460281861,4319.31348,537.88379,4857.19727,52.5577898074012,39.8131538452076,408.657992617985,318.720828530217,0.280262824856505,-0.371205199185929
"35",2023,0.660632406949785,1945.67686,999.49634,2945.1732,53.5837005842601,30.3004324482822,289.751033796676,326.124311469209,0.169087362484056,-0.0294521195716143
"36",2024,0.235271104583511,6194.36502,20134.2614,26328.62642,62.8742267051246,44.9715568283836,771.954871454181,1373.99560804682,0.178222052126515,0.544028991241561
"37",2025,0.581977909195275,23988.20285,17230.20505,41218.4079,57.7317335476807,66.0384818942072,2122.94987833706,559.312009732237,0.101361881178253,0.921219303088347
