"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","type","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"22",2010,0.873831170078976,37251.6170435938,5378.60526837414,42630.222311968,51.4837453185359,"k=5",289.544085665857,3768.95611419435,5056.06346135688,0.420978997678173,-0.260265954751457
"23",2011,0.800416643098527,59139.2526152392,14746.3332545183,73885.5858697575,46.8279954442453,"k=5",299.852866088733,6415.03356887974,1501.95349368244,0.253940585389429,1.17894868028172
"24",2012,0.737214666381532,47807.7937922435,17041.4230944719,64849.2168867153,47.9864223686094,"k=5",179.495477429341,5518.35043581872,1863.29611266267,0.536317593321508,0.00858908493018643
"25",2013,0.77311544447539,41578.25215381,12201.8817846907,53780.1339385007,51.4297083028511,"k=5",199.047507082627,4645.13121876698,1342.69677662548,0.398448131327726,0.386246643883468
"26",2014,0.704244978936615,38640.5340565145,16227.495126825,54868.0291833395,62.9725923259923,"k=5",360.384299055407,3789.09556399697,1305.41863986175,0.137532890475526,1.9841464870274
"27",2015,0.906697677201233,32204.4318341002,3313.94727271287,35518.3791068131,53.8278125619511,"k=5",145.088750184449,2547.22418505843,2802.23260572576,0.141542539012675,0.302566627278237
"28",2016,0.877510500016202,18827.3092716371,2628.05709866784,21455.3663703049,53.2847180703858,"k=5",105.278773563741,1690.57449218187,3690.5345115896,0.0799238243881537,0.384240303185392
"29",2017,0.922794150523983,31121.0207225452,2603.74953621075,33724.770258756,46.1190781294387,"k=5",106.341650647413,4584.65619897141,5432.49122421771,0.171617356903699,-0.0330894385924273
"30",2018,0.906409266807394,40109.459799093,4141.47768345153,44250.9374825445,46.7394397805316,"k=5",192.556912052066,6995.87506943788,4102.13405580305,0.0123427410514987,3.32249959929525
"31",2019,0.964950026428342,32062.6491661682,1164.61472110753,33227.2638872757,37.3589793414896,"k=5",237.884079277454,4197.24735935911,196.229061781184,0.017243614975287,2.43720284392193
"32",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2021,0.993758898579288,9071.23791076,56.9700718085642,9128.20798256857,50.4592725744515,"k=5",108.249094590327,1269.33397599843,9.19657147144742,0.104082815987723,2.37788626418638
"34",2022,0.889855588005551,8102.2804806007,1002.88286254409,9105.1633431448,52.5577898074012,"k=5",75.5443018522231,848.849339658416,965.911733118711,0.280262824856505,-0.304679778008565
"35",2023,0.660753694077351,3659.47496505062,1878.85951245927,5538.33447750989,53.5837005842601,"k=5",54.9473548633919,597.933280036431,1098.36840634943,0.169087362484056,-0.260233192004581
"36",2024,0.23374870689198,11675.8287190036,38274.5169930659,49950.3457120695,62.8742267051246,"k=5",81.2328348153566,1609.43013721234,4574.5312370973,0.178222052126515,0.397993767733365
"37",2025,0.581722649566471,45199.7706924735,32500.0931965441,77699.8638890175,57.7317335476807,"k=5",124.247533334706,4393.7722541372,1644.6222527492,0.101361881178253,0.840819528697821
