"","YEAR","PROP_INDPREF","ALL_MAT","IND_PREF","COHORT_ABUND","LG_ABUND_lag1","LG_ABUND_avg2","ICE_avg2","ICE","TOCC","TOCC_avg2"
"15",2003,0.209103138652257,272.374950391265,56.9544570170665,998.52978046202,170.685388573343,168.447543908813,0.22281280828982,0.141843940579161,1.52658079261906,1.44634651071935
"16",2004,0.145078626503572,387.315425378018,56.1911899374897,1163.40696885475,166.209699244284,152.11333578043,0.171182509441765,0.200521078304369,0.313470222065777,0.920025507342419
"17",2005,0.0476506841581546,1082.62355041436,51.5877528629748,1808.47857471449,138.016972316575,147.549862419283,0.166076155682,0.13163123305963,1.10608465839986,0.709777440232819
"18",2006,0.065192428268471,392.731995130996,25.6031524213109,806.376601768598,157.082752521991,136.838862058103,0.21049479270468,0.289358352349729,-0.681162871340293,0.212460893529784
"19",2007,0.169533142203438,701.477699621799,118.923718602523,1247.73762627209,116.594971594214,200.777702720916,0.288254575145488,0.287150797941247,-0.431524334015032,-0.556343602677662
"20",2008,NA,0,0,491.055327977663,284.960433847617,266.441251708476,0.356881938077966,0.426613078214684,-0.48635764113072,-0.458940987572876
"21",2009,0.201267951265977,454.117974976055,91.3993944564846,727.420410046557,247.922069569334,272.710720645162,0.417174249765824,0.407735421316964,-0.353838927918556,-0.420098284524638
"22",2010,0.199748373287226,768.631027818424,153.532797464819,2840.22565218772,297.499371720991,298.193749600415,0.414357209497568,0.420978997678173,0.0549401673929911,-0.149449380262782
"23",2011,0.108525049870716,1140.08038410059,123.727280541141,1770.08300836599,298.888127479839,304.434165231278,0.337459791533801,0.253940585389429,1.03956714731775,0.54725365735537
"24",2012,NA,0,0,945.414389288182,309.980202982718,247.488537634315,0.395129089355468,0.536317593321508,-0.25509469285341,0.39223622723217
"25",2013,0.138192450349649,523.934842220699,72.4038396700352,842.609821046246,184.996872285913,194.5876129696,0.467382862324617,0.398448131327726,-0.0593557314650272,-0.157225212159219
"26",2014,NA,0,0,1245.62515236758,204.178353653287,287.106022773495,0.267990510901626,0.137532890475526,1.82992106145004,0.885282664992506
"27",2015,0.135648353733654,355.546670085868,48.2293204726306,978.466655948484,370.033691893702,259.498711905282,0.1395377147441,0.141542539012675,0.286623546756332,1.05827230410319
"28",2016,NA,0,0,2068.98609073808,148.963731916862,128.337898946875,0.110733181700414,0.0799238243881537,1.05783152818616,0.672227537471246
"29",2017,0.0429238725907491,944.239899152716,40.530433126333,4149.70217126738,107.712065976889,108.332943207141,0.125770590645926,0.171617356903699,0.131956135605169,0.594893831895665
"30",2018,0.0186851972296876,3517.45998291606,65.7244335283201,7599.85662663036,108.953820437394,152.661967521419,0.0919800489775989,0.0123427410514987,3.25152691463576,1.69174152512046
"31",2019,0.0553893843684468,1481.59206523597,82.064472378596,1037.93779254879,196.370114605445,219.322668911308,0.0147931780133928,0.017243614975287,2.5308608827297,2.89119389868273
"32",2020,NA,NA,NA,NA,242.275223217172,NA,NA,NA,NA,NA
"33",2021,0.158006330655962,199.382149837253,31.5036418940815,20.3869592471417,NA,NA,NA,0.104082815987723,2.34505255917519,NA
"34",2022,0.180311740480472,135.966912775062,24.516430690228,574.764583315532,110.162453180357,93.6719206068913,0.192172820422114,0.280262824856505,-0.494398361184298,0.925327098995446
"35",2023,0.120103445566119,172.1231425999,20.6725824879163,619.094998028846,77.1813880334253,66.7615423178947,0.22467509367028,0.169087362484056,-0.286535341624439,-0.390466851404368
"36",2024,0.032946550524304,715.207334552901,23.5636145831999,2527.43980349,56.3416966023642,69.9038541402229,0.173654707305286,0.178222052126515,0.51169806510146,0.11258136173851
"37",2025,0.0233691195933073,1573.20369659349,36.7643853303264,2696.05433234212,83.4660116780817,105.130375769924,0.139791966652384,0.101361881178253,0.759761802410745,0.635729933756102
