"","YEAR","SPECIES","DISTRICT","SIZE_5MM","denom","num","PROP_MATURE"
"448",2005,"SNOW","ALL",127.5,168.613545576235,167.568868009635,0.993804308170913
"449",2005,"SNOW","ALL",132.5,59.1975784733382,58.9853552999436,0.996415002456728
"450",2005,"SNOW","ALL",137.5,7.47272539541062,7.44447024416805,0.996218896085768
"451",2005,"SNOW","ALL",142.5,3.24694043781075,3.24107379281517,0.998193177513432
"452",2006,"SNOW","ALL",17.5,2028.98613786668,0.0406799587454927,2.00494020073811e-05
"453",2006,"SNOW","ALL",22.5,3882.56525935321,0.248686432116976,6.40520932694907e-05
"454",2006,"SNOW","ALL",27.5,4275.79082715754,0.671226881504099,0.00015698309590844
"455",2006,"SNOW","ALL",32.5,5738.64877412294,4.51898814111965,0.000787465537444448
"456",2006,"SNOW","ALL",37.5,12662.8407639709,47.8788275925843,0.00378104948842223
"457",2006,"SNOW","ALL",42.5,15937.8109957849,259.787303275718,0.0163000617427591
"458",2006,"SNOW","ALL",47.5,6333.92519026477,255.423144247785,0.0403262016167116
"459",2006,"SNOW","ALL",52.5,4407.13260396098,492.813924980505,0.111821896290931
"460",2006,"SNOW","ALL",57.5,6614.5394183423,975.583727406725,0.147490802564636
"461",2006,"SNOW","ALL",62.5,8546.83261996513,1708.60003361208,0.199910318779479
"462",2006,"SNOW","ALL",67.5,7976.60882208316,1970.19469637278,0.246996529517445
"463",2006,"SNOW","ALL",72.5,6725.34104006774,1942.41018581514,0.288819581675159
"464",2006,"SNOW","ALL",77.5,5564.19116321851,1823.5068438252,0.327721818020793
"465",2006,"SNOW","ALL",82.5,6730.49636291782,2282.71681062488,0.339160247259278
"466",2006,"SNOW","ALL",87.5,3495.60697705973,1313.01826385252,0.375619534023513
"467",2006,"SNOW","ALL",92.5,1635.71834422353,801.820847554339,0.490194935079095
"468",2006,"SNOW","ALL",97.5,786.301487889254,457.953402676871,0.582414518769639
"469",2006,"SNOW","ALL",102.5,491.135334510993,362.827686432308,0.738752968758729
"470",2006,"SNOW","ALL",107.5,347.273991635743,316.949302211414,0.912677913823916
"471",2006,"SNOW","ALL",112.5,149.057395605684,142.272022177204,0.954478116292663
"472",2006,"SNOW","ALL",117.5,90.7554687114575,88.5682711067178,0.975900101274408
"473",2006,"SNOW","ALL",122.5,52.5367998110089,51.8008735376878,0.985992175466179
"474",2006,"SNOW","ALL",127.5,20.2113929369176,20.0542777941928,0.992226406996534
