"","YEAR","SIZE_1MM","COHORT_ABUND"
"223",1999,52,15.324341265689
"224",1999,53,14.5803241920174
"225",1999,54,12.5377861312818
"226",1999,55,15.8148738042367
"227",1999,56,16.3878545441368
"228",1999,57,16.5723411080559
"229",1999,58,21.925824793255
"230",1999,59,16.0343777445407
"231",1999,60,21.4630623375259
"232",2000,40,41.0980008216133
"233",2000,41,28.9192023936686
"234",2000,42,37.1587936741999
"235",2000,43,36.3868312103695
"236",2000,44,34.892892081477
"237",2000,45,34.1643418366357
"238",2000,46,30.6478145982108
"239",2000,47,36.643094035886
"240",2000,48,36.241242433157
"241",2000,49,30.1457390237946
"242",2000,50,43.3257276327877
"243",2000,51,46.4791259202626
"244",2000,52,56.8165634659722
"245",2000,53,54.8121067057636
"246",2000,54,55.1029414090859
"247",2000,55,49.0079579068025
"248",2000,56,51.8620168656733
"249",2000,57,75.9533844353538
"250",2000,58,59.1061110687676
"251",2000,59,40.4981969741648
"252",2000,60,45.6281308480211
"253",2001,40,48.2118195922232
"254",2001,41,51.5605589101623
"255",2001,42,73.7932338804611
"256",2001,43,29.9480598254247
"257",2001,44,28.2339066372467
"258",2001,45,23.3094993456843
"259",2001,46,10.5046378090704
"260",2001,47,18.583187352663
"261",2001,48,13.6907554327109
"262",2001,49,22.5453556454686
"263",2001,50,22.877552024007
"264",2001,51,22.7181005481937
"265",2001,52,48.7515827191808
"266",2001,53,42.9691105933483
"267",2001,54,51.7603686183342
"268",2001,55,82.0568443437555
"269",2001,56,69.7164428888824
"270",2001,57,81.8495011209975
"271",2001,58,71.7652747004858
"272",2001,59,69.6371305815083
"273",2001,60,102.294696405667
"274",2002,40,5.72050831105191
"275",2002,41,13.9266787624204
"276",2002,42,10.1895344446294
"277",2002,43,10.154754187376
"278",2002,44,12.4412361160304
"279",2002,45,9.19192045697087
"280",2002,46,10.2449446932838
"281",2002,47,11.7892191032365
"282",2002,48,7.19182905475404
"283",2002,49,13.0209971199927
"284",2002,50,13.7410074704281
"285",2002,51,16.8222251408342
"286",2002,52,21.3974036190967
"287",2002,53,22.0136758109234
"288",2002,54,21.1581144078875
"289",2002,55,26.9241736005658
"290",2002,56,13.5393039305521
"291",2002,57,25.3349310800876
"292",2002,58,17.4371533869693
"293",2002,59,16.4444004734397
"294",2002,60,24.5889853929196
"295",2003,40,16.7930269607834
"296",2003,41,21.9843974225184
"297",2003,42,27.652847215028
"298",2003,43,59.1041643727325
"299",2003,44,47.4400253682408
"300",2003,45,55.6128265509661
"301",2003,46,60.6874674344844
"302",2003,47,62.9768269254372
"303",2003,48,65.0420779433237
"304",2003,49,68.931237278122
"305",2003,50,66.9357017868364
"306",2003,51,48.0990239547726
"307",2003,52,34.9520367665733
"308",2003,53,42.0592839347637
"309",2003,54,31.0215592122021
"310",2003,55,28.1408556925356
"311",2003,56,51.7729337133917
"312",2003,57,45.7021637115403
"313",2003,58,34.8710516270701
"314",2003,59,34.2785563445791
"315",2003,60,32.74647044541
"316",2004,40,64.5945648616634
"317",2004,41,56.3723065944499
"318",2004,42,49.7037937736506
"319",2004,43,47.2204920664685
"320",2004,44,39.3975420837879
"321",2004,45,45.5496791097258
"322",2004,46,44.2656374007925
"323",2004,47,57.704831659673
"324",2004,48,46.5420498788268
"325",2004,49,50.718609987243
"326",2004,50,58.8321046316947
"327",2004,51,51.1681750475185
"328",2004,52,63.2746219194479
"329",2004,53,42.5257041135808
"330",2004,54,42.073361930228
"331",2004,55,47.3379362228022
"332",2004,56,45.1669075566597
"333",2004,57,59.4089409023257
"334",2004,58,51.0146409038979
"335",2004,59,46.3529786302273
"336",2004,60,62.681944650752
"337",2005,40,40.8456633734958
"338",2005,41,49.7063476230381
"339",2005,42,66.8488011100288
"340",2005,43,64.1123781156513
"341",2005,44,67.6350117247728
"342",2005,45,65.4494201821757
"343",2005,46,55.3688800114158
"344",2005,47,85.1351258291772
"345",2005,48,54.5065385232559
"346",2005,49,55.8382556928734
"347",2005,50,76.1208608433442
"348",2005,51,48.8741575394097
"349",2005,52,94.1874415553862
"350",2005,53,59.5581519001008
"351",2005,54,74.7523557515112
"352",2005,55,74.8184405138633
"353",2005,56,72.571129638306
"354",2005,57,75.8192020789847
"355",2005,58,82.6501185420173
"356",2005,59,121.730002087913
"357",2005,60,141.82732911749
"358",2006,40,50.8411684116752
"359",2006,41,54.5536690937919
"360",2006,42,51.4891447258117
"361",2006,43,47.3915094074878
"362",2006,44,45.4320269055811
"363",2006,45,33.1493884615179
"364",2006,46,33.6899483615587
"365",2006,47,26.9898323412673
"366",2006,48,23.3435014901215
"367",2006,49,12.1033317871269
"368",2006,50,20.9566531541031
"369",2006,51,21.6783150579675
"370",2006,52,24.0956621589723
"371",2006,53,16.9944488547557
"372",2006,54,32.2488232036528
"373",2006,55,31.6334525094815
"374",2006,56,31.775867311824
"375",2006,57,47.4578962000026
"376",2006,58,41.2105313750644
"377",2006,59,45.1259408800608
"378",2006,60,47.9635984214569
"379",2007,40,18.8119010397401
"380",2007,41,18.4349886946742
"381",2007,42,31.9555428187052
"382",2007,43,19.0399493311972
"383",2007,44,28.7568082715113
"384",2007,45,30.7612661723369
"385",2007,46,36.5824524425158
"386",2007,47,58.2767171145413
"387",2007,48,48.74378549224
"388",2007,49,35.5169398447664
"389",2007,50,65.2418284425701
"390",2007,51,51.9244603011486
"391",2007,52,101.46703318555
"392",2007,53,63.8600350251225
"393",2007,54,77.8002885890031
"394",2007,55,66.1852737647635
"395",2007,56,68.707863983707
"396",2007,57,78.1167940977304
"397",2007,58,54.7878143028061
"398",2007,59,44.5631477734178
"399",2007,60,71.9619930184932
"400",2008,40,0
"401",2008,41,0
"402",2008,42,0
"403",2008,43,0
"404",2008,44,0
"405",2008,45,0
"406",2008,46,0
"407",2008,47,0
"408",2008,48,0
"409",2008,49,0
"410",2008,50,0
"411",2008,51,0
"412",2008,52,0
"413",2008,53,0
"414",2008,54,0
"415",2008,55,0
"416",2008,56,0
"417",2008,57,0
"418",2008,58,0
"419",2008,59,0
"420",2008,60,0
"421",2009,40,31.8954823240045
"422",2009,41,31.8605686152757
"423",2009,42,31.6953608913982
"424",2009,43,27.1330432382016
"425",2009,44,25.3858016222495
"426",2009,45,36.1449928673234
"427",2009,46,37.8810572866822
"428",2009,47,36.9520375359632
"429",2009,48,35.4492832130699
"430",2009,49,45.5060184297392
"431",2009,50,35.1211376940798
"432",2009,51,38.5206622362467
"433",2009,52,27.1625369490207
"434",2009,53,26.7043806654116
"435",2009,54,21.3812253855313
"436",2009,55,27.8083950232077
"437",2009,56,27.5266487502433
"438",2009,57,28.2800919162861
"439",2009,58,19.5175797328696
"440",2009,59,23.9347964081635
"441",2009,60,24.7254797363325
"442",2010,40,77.5202455638161
"443",2010,41,91.6835873587905
"444",2010,42,119.082546146939
"445",2010,43,153.588587860641
"446",2010,44,142.359875220602
"447",2010,45,209.631492947245
"448",2010,46,190.893086555981
"449",2010,47,193.991984482943
"450",2010,48,202.687825647686
"451",2010,49,149.527877957262
"452",2010,50,159.921951659274
"453",2010,51,166.944864655463
"454",2010,52,116.664015805551
"455",2010,53,113.278054308194
"456",2010,54,92.1349767679054
"457",2010,55,63.9655197416957
"458",2010,56,84.8013517327764
"459",2010,57,91.3767421673175
"460",2010,58,47.6237843016429
"461",2010,59,42.0328921716382
"462",2010,60,33.4940836105807
"463",2011,40,45.2435627013251
"464",2011,41,53.0540835960625
"465",2011,42,51.2242707515687
"466",2011,43,56.2295954370973
"467",2011,44,51.7194539826834
"468",2011,45,54.1800477710337
"469",2011,46,55.028929958669
"470",2011,47,47.7899599604084
"471",2011,48,55.4954189311833
"472",2011,49,68.4936546586611
"473",2011,50,74.9170604617417
"474",2011,51,70.2428884779577
"475",2011,52,63.4833082440687
"476",2011,53,82.5550495513311
"477",2011,54,75.6991681132219
"478",2011,55,91.1236522235111
"479",2011,56,85.3096346116126
"480",2011,57,97.1471928938261
"481",2011,58,95.9603788122404
"482",2011,59,73.2577251196834
"483",2011,60,82.944558111435
"484",2012,40,0
"485",2012,41,0
"486",2012,42,0
"487",2012,43,0
"488",2012,44,0
"489",2012,45,0
"490",2012,46,0
"491",2012,47,0
"492",2012,48,0
"493",2012,49,0
"494",2012,50,0
"495",2012,51,0
"496",2012,52,0
"497",2012,53,0
"498",2012,54,0
"499",2012,55,0
"500",2012,56,0
"501",2012,57,0
"502",2012,58,0
"503",2012,59,0
"504",2012,60,0
"505",2013,40,18.8447243533885
"506",2013,41,23.7791596323444
"507",2013,42,26.6557314045236
"508",2013,43,28.1122716343151
"509",2013,44,27.9013957309015
"510",2013,45,38.9576870107015
"511",2013,46,34.6344904683579
"512",2013,47,34.6145772431025
"513",2013,48,36.3803919905746
"514",2013,49,37.9397481841157
"515",2013,50,39.5450890702407
"516",2013,51,39.7330815754592
"517",2013,52,45.1941876841229
"518",2013,53,37.947513177154
"519",2013,54,34.2424708041836
"520",2013,55,47.1402930738718
"521",2013,56,45.3240606808361
"522",2013,57,38.4174132034585
"523",2013,58,34.4506312879041
"524",2013,59,35.5125758771808
"525",2013,60,39.8946120278976
"526",2014,40,0
"527",2014,41,0
"528",2014,42,0
"529",2014,43,0
"530",2014,44,0
"531",2014,45,0
"532",2014,46,0
"533",2014,47,0
"534",2014,48,0
"535",2014,49,0
"536",2014,50,0
"537",2014,51,0
"538",2014,52,0
"539",2014,53,0
"540",2014,54,0
"541",2014,55,0
"542",2014,56,0
"543",2014,57,0
"544",2014,58,0
"545",2014,59,0
"546",2014,60,0
"547",2015,40,79.1433327219596
"548",2015,41,68.5965799676807
"549",2015,42,71.1667129496133
"550",2015,43,66.522227462061
"551",2015,44,50.4673240719128
"552",2015,45,45.4451561542939
"553",2015,46,40.9711525316457
"554",2015,47,33.8999087493619
"555",2015,48,26.2464099383878
"556",2015,49,32.0054236601136
"557",2015,50,34.0534041002958
"558",2015,51,32.8950402541754
"559",2015,52,35.8795781217989
"560",2015,53,30.0059122338568
"561",2015,54,28.6295863531253
"562",2015,55,28.0361302065817
"563",2015,56,35.1847728358864
"564",2015,57,40.8067165083002
"565",2015,58,35.805955842569
"566",2015,59,34.3850469973165
"567",2015,60,39.9079204188426
"568",2016,40,0
"569",2016,41,0
"570",2016,42,0
"571",2016,43,0
"572",2016,44,0
"573",2016,45,0
"574",2016,46,0
"575",2016,47,0
"576",2016,48,0
"577",2016,49,0
"578",2016,50,0
"579",2016,51,0
"580",2016,52,0
"581",2016,53,0
"582",2016,54,0
"583",2016,55,0
"584",2016,56,0
"585",2016,57,0
"586",2016,58,0
"587",2016,59,0
"588",2016,60,0
"589",2017,40,303.027632168792
"590",2017,41,322.856098733709
"591",2017,42,278.802980134218
"592",2017,43,233.652590593002
"593",2017,44,253.450293332489
"594",2017,45,227.304985468459
"595",2017,46,205.245035362581
"596",2017,47,197.750086596127
"597",2017,48,171.00906096851
"598",2017,49,153.701758438839
"599",2017,50,142.910119456543
"600",2017,51,136.252467836673
"601",2017,52,123.477296065423
"602",2017,53,135.32601033181
"603",2017,54,106.515134048171
"604",2017,55,139.415863881828
"605",2017,56,137.471618939793
"606",2017,57,148.540928529611
"607",2017,58,95.3630276542472
"608",2017,59,98.0559428181094
