"","YEAR","SPECIES","DISTRICT","SIZE_5MM","denom","num","PROP_MATURE"
"182",1995,"SNOW","ALL",117.5,293.452304257927,286.703289532158,0.977001323118467
"183",1995,"SNOW","ALL",122.5,188.920378567366,186.637272805214,0.987914984188231
"184",1995,"SNOW","ALL",127.5,60.0240713423508,59.693097169674,0.994485975954729
"185",1995,"SNOW","ALL",132.5,5.69934499050225,5.68030746091542,0.996659698681419
"186",1995,"SNOW","ALL",137.5,1.56236836730339,1.55771334370539,0.997020533892379
"187",1996,"SNOW","ALL",12.5,10925.602559282,0.252631390606859,2.31228794234541e-05
"188",1996,"SNOW","ALL",17.5,4924.80763279979,2.29655076705406,0.000466322938536474
"189",1996,"SNOW","ALL",22.5,2145.53112025931,1.52537438494813,0.000710954211078407
"190",1996,"SNOW","ALL",27.5,1769.30606592008,4.41271823375588,0.0024940389448454
"191",1996,"SNOW","ALL",32.5,1168.80253063676,2.01422343361313,0.00172332227285287
"192",1996,"SNOW","ALL",37.5,1942.27285529219,13.5927501605216,0.00699837312944208
"193",1996,"SNOW","ALL",42.5,2847.5281499241,71.6731205776648,0.0251702939546271
"194",1996,"SNOW","ALL",47.5,4367.23830549762,338.001848313625,0.0773948716945759
"195",1996,"SNOW","ALL",52.5,9906.91851076779,1646.2833341145,0.166175116139813
"196",1996,"SNOW","ALL",57.5,18467.9252301496,4287.79469970413,0.2321752252226
"197",1996,"SNOW","ALL",62.5,25437.6740807653,6538.13552289514,0.25702568175598
"198",1996,"SNOW","ALL",67.5,28733.0030444374,8547.03694948433,0.297464102038544
"199",1996,"SNOW","ALL",72.5,25278.5684815146,8591.88920623356,0.339888281748096
"200",1996,"SNOW","ALL",77.5,21668.3647242705,7850.60432971012,0.362307189749152
"201",1996,"SNOW","ALL",82.5,18531.4570374897,6651.94259905299,0.358954106285107
"202",1996,"SNOW","ALL",87.5,14967.081159362,5003.58615258391,0.334306074732156
"203",1996,"SNOW","ALL",92.5,12882.265140539,4698.81951015829,0.364751032438514
"204",1996,"SNOW","ALL",97.5,7891.31779545678,3506.69352242905,0.44437362850194
"205",1996,"SNOW","ALL",102.5,4654.57889801377,2884.50609767196,0.619713654204649
"206",1996,"SNOW","ALL",107.5,2178.01029307016,1715.08977786942,0.787457149916313
"207",1996,"SNOW","ALL",112.5,1060.25560764092,912.637843277881,0.860771531601239
"208",1996,"SNOW","ALL",117.5,370.790875122514,327.530316394588,0.883328955402067
"209",1996,"SNOW","ALL",122.5,133.611833838124,126.884072171238,0.949646962595864
"210",1996,"SNOW","ALL",127.5,43.0555136945764,41.2175954243245,0.957312824478426
"211",1996,"SNOW","ALL",132.5,14.9832928008434,14.4316961031181,0.963185882765758
"212",1997,"SNOW","ALL",12.5,2796.56049945787,0.310233681748773,0.000110934014053661
"213",1997,"SNOW","ALL",17.5,2462.4038163999,1.51361035873973,0.000614688114377874
"214",1997,"SNOW","ALL",22.5,677.554686841737,0.390950986737304,0.00057700285206443
"215",1997,"SNOW","ALL",27.5,772.497698812676,3.50778184330914,0.0045408314467481
"216",1997,"SNOW","ALL",32.5,464.740640909466,4.5826737684448,0.00986071233081062
"217",1997,"SNOW","ALL",37.5,573.329203668708,1.72858883978009,0.00301500225127017
"218",1997,"SNOW","ALL",42.5,1119.52507498126,7.46290906631294,0.00666613837697014
"219",1997,"SNOW","ALL",47.5,2268.03498047499,24.4975391643708,0.0108012175188058
"220",1997,"SNOW","ALL",52.5,3830.03872016026,121.889052650198,0.0318244961881476
"221",1997,"SNOW","ALL",57.5,5210.09731278495,437.339336195435,0.0839407231650466
"222",1997,"SNOW","ALL",62.5,7438.27892512678,1050.1083611766,0.141176254849666
"223",1997,"SNOW","ALL",67.5,7856.07422835087,1529.10335751164,0.194639627002688
"224",1997,"SNOW","ALL",72.5,9411.76229927441,2381.64421078981,0.253049762101771
"225",1997,"SNOW","ALL",77.5,8845.02813277815,2572.64931933065,0.2908582404387
"226",1997,"SNOW","ALL",82.5,8002.55915085975,2273.31307409709,0.28407326097088
"227",1997,"SNOW","ALL",87.5,7015.03009970415,2079.24891278541,0.296399143443889
"228",1997,"SNOW","ALL",92.5,6818.56312621395,2159.45624577215,0.316702537734105
"229",1997,"SNOW","ALL",97.5,5583.09278057759,2253.26735448916,0.403587660647125
"230",1997,"SNOW","ALL",102.5,4134.88187987627,2305.45868500067,0.557563372298717
"231",1997,"SNOW","ALL",107.5,2945.5179848588,2169.33686128286,0.736487392857271
"232",1997,"SNOW","ALL",112.5,2089.38007395944,1723.51919337169,0.824895008262217
"233",1997,"SNOW","ALL",117.5,1404.11341969373,1244.40976366084,0.886260145517503
"234",1997,"SNOW","ALL",122.5,754.208508964852,704.873321403676,0.934586805936613
"235",1997,"SNOW","ALL",127.5,303.579101753271,297.557227077491,0.980163737750718
"236",1997,"SNOW","ALL",132.5,64.0379574210863,63.2502213052638,0.987698918773397
"237",1997,"SNOW","ALL",137.5,7.62310773774668,7.60376401472166,0.997462488568902
"238",1997,"SNOW","ALL",142.5,0.619066766639126,0.618585789794753,0.999223061436518
"239",1998,"SNOW","ALL",12.5,41948.407491868,0.500241315763719,1.19251562973086e-05
"240",1998,"SNOW","ALL",17.5,53071.2660534358,9.50671638464282,0.000179131139910452
"241",1998,"SNOW","ALL",22.5,30125.8430191694,17.0020580749063,0.000564367877243723
"242",1998,"SNOW","ALL",27.5,8161.45762202914,49.797489485063,0.00610154359567477
"243",1998,"SNOW","ALL",32.5,1781.3040128617,8.98804275773837,0.00504576573838113
"244",1998,"SNOW","ALL",37.5,1338.70707049799,10.6123688660502,0.00792732712026572
"245",1998,"SNOW","ALL",42.5,2839.61404763072,53.4683404508293,0.0188294393371668
"246",1998,"SNOW","ALL",47.5,5897.95176798435,196.579676374488,0.033330160046675
"247",1998,"SNOW","ALL",52.5,4728.15188751025,329.247278864981,0.0696355122885776
"248",1998,"SNOW","ALL",57.5,5078.5108871269,657.056493516321,0.129379754837553
